Order	Clone	om	Start	End
3535	GS-232-B23	1	0	0
3537	GS-62-L8	1	0	0
2305	RP4-785P20	1	3224661	3365232
145	RP1-37J18	1	4576927	4708254
2309	RP3-438L4	1	7137306	7224405
2213	RP11-338N10	1	7718920	7784841
3	RP11-484P7	1	9161350	9162074
149	RP3-510D11	1	9214534	9341684
2313	RP4-575L21	1	10152995	10247416
153	RP4-635E18	1	11063710	11176478
2317	RP4-539L13	1	11560620	11696404
3358	RP11-196P5	1	11843141	12009662
157	RP4-636F13	1	12428586	12483331
53	RP11-285P3	1	14741124	14818313
2321	RP4-560M15	1	15577741	15606845
161	RP1-37C10	1	17267485	17483982
57	RP11-174G17	1	18382538	18497828
2325	RP4-540O3	1	19311889	19386125
165	RP4-745E8	1	20607462	20686231
2221	RP11-132G19	1	22049359	22224520
2845	RP1-184J9	1	23338049	23438900
61	RP11-509F14	1	24624576	24634037
3491	RP11-304H10	1	24726422	24909172
685	RP3-398I9	1	25191442	25286682
689	RP4-633N17	1	27360930	27479944
2849	RP1-144C9	1	27702736	27780057
900	RP1-159A19	1	27857725	27981012
693	RP4-669K10	1	28827017	28962836
2853	RP3-437I16	1	29608535	29728919
2857	RP5-893G23	1	30541692	30628951
2229	RP11-84A19	1	32213171	32337583
69	RP11-277A4	1	32502427	32576373
2749	RP11-114B7	1	33101405	33274280
697	RP4-561P1	1	34379489	34481381
589	RP11-327P22	1	35152825	35173477
2861	RP4-731G4	1	36831673	36970611
701	RP5-1090M5	1	37395519	37526759
2865	RP4-783C10	1	38145025	38241382
705	RP5-884C9	1	38491241	38606854
2753	RP11-113D13	1	39535288	39598474
3048	RP1-118J21	1	40225143	40389639
593	RP11-204L3	1	0	0
2306	RP4-739H11	1	41058085	41187935
2757	RP11-342M1	1	43277529	43359232
597	RP11-184I16	1	44148338	44249955
2761	RP11-182I23	1	44749791	44836218
3891	RP11-420M12	1	45576278	45750453
146	RP4-534D1	1	45751566	45851352
601	RP11-322N21	1	46609892	46697125
2765	RP11-8J9	1	47111978	47269350
605	RP11-330M19	1	48229713	48430080
2769	RP11-428D12	1	49144722	49330421
2310	RP5-1013G21	1	50570477	50687168
150	RP1-86A18	1	50821950	51030208
609	RP11-253A20	1	51883401	52025070
2210	RP11-117D22	1	53809978	53859532
2500	RP11-243A18	1	54030005	54213743
154	RP5-1043G4	1	55121805	55250960
2318	RP5-1070D5	1	55903371	55918393
158	RP4-710M16	1	56823089	56951756
1286	RP11-20F20	1	57683846	57856259
2139	RP11-20F20	1	57683846	57856259
50	RP11-342F23	1	58967891	59017853
2214	RP11-37M11	1	60166775	60309067
2322	RP4-668G5	1	61271958	61418672
162	RP4-662P1	1	62358609	62501834
2218	RP11-5P4	1	63450238	63568077
2326	RP4-537F10	1	64434097	64531330
166	RP4-700A9	1	65598769	65687824
2846	RP4-759M20	1	66904686	67033180
686	RP4-547N15	1	67466916	67598160
2850	RP5-1033K19	1	68837257	68940395
58	RP11-412F21	1	69442996	69591852
690	RP5-944F13	1	70103142	70216656
2680	RP11-419I14	1	70405779	70575673
2854	RP5-1006B11	1	70944901	71042125
2222	RP11-175G14	1	72154975	72272925
62	RP11-261J10	1	73040535	73211351
2858	RP4-716B13	1	73853262	73991746
2226	RP11-250D8	1	74702321	74730516
66	RP11-25F16	1	75462114	75616255
698	RP5-963M5	1	76868188	76967867
2230	RP11-306I4	1	78042826	78108105
70	RP11-143H12	1	79181210	79363137
523	RP11-111N8	1	79208505	79407207
706	RP4-653E17	1	82071107	82125865
2750	RP11-398N17	1	82731779	82822533
590	RP11-338F23	1	83721900	83905906
1826	RP11-28I21	1	83861401	84024576
4296	RP11-28I21	1	83861401	84024576
2754	RP11-118B23	1	84955439	85081003
2307	RP4-604P14	1	85192240	85334820
147	RP4-722L13	1	86139742	86166744
2311	RP4-612B15	1	87148118	87273942
151	RP5-1043L3	1	87677974	87777814
594	RP11-427B20	1	88854273	88962543
2758	RP11-413E1	1	90063711	90248892
598	RP11-298P9	1	90574221	90674429
2315	RP4-665J23	1	91294859	91378865
155	RP4-621B10	1	92517154	92659879
2319	RP5-1033H22	1	93995721	94137738
2762	RP11-366L18	1	94864557	94960557
602	RP11-14O19	1	95804900	95849102
2766	RP11-146P11	1	95983627	96156674
606	RP11-122C9	1	97095507	97282884
2770	RP11-128G13	1	98119925	98230924
610	RP11-17C2	1	98962842	99067258
4184	RP11-260K3	1	99898192	100063229
2211	RP11-413P11	1	99937818	100063239
159	RP4-549L20	1	101302754	101434523
51	RP11-421L21	1	101448073	101636397
2215	RP11-202K23	1	102593718	102734338
55	RP11-118G19	1	105666808	105780179
2219	RP11-90H3	1	106300847	106459863
163	RP5-916A15	1	106958326	107082928
2327	RP5-1077K16	1	107586784	107677077
59	RP11-28P8	1	108528492	108711444
2847	RP5-831G13	1	110014566	110083569
2223	RP11-284N8	1	111095753	111286935
63	RP11-88H9	1	112510043	112679641
687	RP4-770C6	1	113059805	113159144
2227	RP11-31F15	1	113503346	113572228
2525	RP5-1000E10	1	115207623	115347730
691	RP4-663N10	1	115858922	116035987
2855	RP4-787H6	1	116778961	116906011
2231	RP11-27K13	1	117478717	117605563
3067	RP11-13A12	1	118589386	118590145
695	RP5-881A21	1	118859369	118884319
2859	RP4-610L12	1	119604344	119679127
71	RP11-418J17	1	119699818	119856975
591	RP11-326G21	1	144902232	145057046
2755	RP11-315I20	1	145438576	145630169
595	RP11-533N14	1	147042687	147155393
2759	RP11-301M17	1	147687111	147737500
2763	RP11-98D18	1	151650102	151813490
603	RP11-216N14	1	153688049	153838214
607	RP11-422P24	1	153891851	154067677
2767	RP11-307C12	1	154844039	155026204
2771	RP11-98F1	1	155273037	155277030
611	RP11-172I6	1	156079575	156084103
2212	RP11-206M24	1	157789502	157790269
52	RP11-393K10	1	158843104	158874919
2216	RP11-190A12	1	159744819	159881682
56	RP11-137A12	1	161072361	161243375
2220	RP11-5K23	1	161413132	161542636
60	RP11-430G6	1	162957041	163122369
3336	RP11-180L13	1	165116403	165300659
64	RP11-306I1	1	165542397	165618310
148	RP1-97P20	1	169782106	169885187
68	RP11-277C14	1	171863104	172019044
2232	RP11-415M14	1	176107631	176120171
365	RP5-1026E2	1	177192155	177292469
72	RP11-163L4	1	177708317	177888633
2752	RP11-12M5	1	179675830	179848860
592	RP11-46A10	1	180827031	180966036
2756	RP11-538D16	1	182019440	182093954
596	RP11-71D4	1	182708047	182779510
3350	RP11-181K3	1	183063114	183227197
2760	RP11-293B7	1	183652424	183682763
361	RP5-973M2	1	186598775	186683186
164	RP5-936P19	1	186683187	186784133
2764	RP11-108M21	1	187176771	187347409
604	RP11-336D15	1	189139602	189143595
2768	RP11-445K1	1	189985677	190175839
612	RP11-142L4	1	192150689	192244863
2623	RP11-239J11	1	193088749	193211612
463	RP11-435N12	1	194931301	195111082
467	RP11-75C23	1	197387437	197443390
2631	RP11-404H1	1	198337213	198483973
471	RP11-152M20	1	199561990	199647090
2635	RP11-469A15	1	200282314	200447809
2639	RP11-572A16	1	202152110	202329453
479	RP11-480I12	1	202707959	202859974
1988	RP11-739N20	1	204317171	204484249
2643	RP11-563I16	1	204401953	204565860
3895	RP11-430C7	1	204484250	204616234
3163	RP11-534L20	1	206639696	206747384
