Order	Clone	om	Start	End
3535	GS-232-B23	1	0	0
3537	GS-62-L8	1	0	0
2305	RP4-785P20	1	3308097	3448668
145	RP1-37J18	1	4516867	4648194
2309	RP3-438L4	1	7077246	7164345
2213	RP11-338N10	1	7658860	7724781
3	RP11-484P7	1	9101291	9102015
149	RP3-510D11	1	9154475	9281625
2313	RP4-575L21	1	10092937	10187358
153	RP4-635E18	1	11003653	11116421
2317	RP4-539L13	1	11500563	11636347
3358	RP11-196P5	1	11783084	11949605
157	RP4-636F13	1	12368531	12423278
53	RP11-285P3	1	14414628	14491817
2321	RP4-560M15	1	15251245	15280349
161	RP1-37C10	1	16940990	17157487
57	RP11-174G17	1	18056044	18171334
2325	RP4-540O3	1	18985395	19059631
165	RP4-745E8	1	20280969	20359738
2221	RP11-132G19	1	21722866	21898027
2845	RP1-184J9	1	23011556	23112407
61	RP11-509F14	1	24298086	24307547
3491	RP11-304H10	1	24399932	24582681
685	RP3-398I9	1	24864951	24960191
689	RP4-633N17	1	27034439	27153453
2849	RP1-144C9	1	27376245	27453546
900	RP1-159A19	1	27531214	27654501
693	RP4-669K10	1	28500505	28636324
2853	RP3-437I16	1	29282023	29402407
2857	RP5-893G23	1	30068845	30156104
2229	RP11-84A19	1	31747570	31871982
69	RP11-277A4	1	32036826	32110772
2749	RP11-114B7	1	32635804	32808679
697	RP4-561P1	1	33913888	34015780
589	RP11-327P22	1	34687224	34707876
2861	RP4-731G4	1	36366072	36505010
701	RP5-1090M5	1	36929918	37061158
2865	RP4-783C10	1	37679353	37775710
705	RP5-884C9	1	38025569	38141182
2753	RP11-113D13	1	39069616	39132802
3048	RP1-118J21	1	39759471	39923967
593	RP11-204L3	1	0	0
2306	RP4-739H11	1	40592413	40722263
2757	RP11-342M1	1	42811858	42893561
597	RP11-184I16	1	43682667	43784284
2761	RP11-182I23	1	44284119	44370546
3891	RP11-420M12	1	45110606	45284781
146	RP4-534D1	1	45285894	45385680
601	RP11-322N21	1	46144220	46231453
2765	RP11-8J9	1	46646306	46803678
605	RP11-330M19	1	47764041	47964408
2769	RP11-428D12	1	48679050	48864749
2310	RP5-1013G21	1	50104805	50221496
150	RP1-86A18	1	50356278	50564536
609	RP11-253A20	1	51417729	51559398
2210	RP11-117D22	1	53344306	53393860
2500	RP11-243A18	1	53564332	53748070
154	RP5-1043G4	1	54656132	54785287
2318	RP5-1070D5	1	55437698	55452720
158	RP4-710M16	1	56357417	56486084
1286	RP11-20F20	1	57218173	57390587
2139	RP11-20F20	1	57218173	57390587
50	RP11-342F23	1	58502219	58552181
2214	RP11-37M11	1	59701103	59843395
2322	RP4-668G5	1	60806286	60953000
162	RP4-662P1	1	61892937	62036162
2218	RP11-5P4	1	62984567	63102406
2326	RP4-537F10	1	63968426	64065658
166	RP4-700A9	1	65133086	65222141
2846	RP4-759M20	1	66439003	66567497
686	RP4-547N15	1	67001233	67132477
2850	RP5-1033K19	1	68371574	68474712
58	RP11-412F21	1	68977313	69126169
690	RP5-944F13	1	69637459	69750973
2680	RP11-419I14	1	69940096	70109990
2854	RP5-1006B11	1	70479218	70576442
2222	RP11-175G14	1	71689292	71807242
62	RP11-261J10	1	72574852	72745668
2858	RP4-716B13	1	73387579	73526063
2226	RP11-250D8	1	74236637	74264832
66	RP11-25F16	1	74996430	75150570
698	RP5-963M5	1	76402503	76502182
2230	RP11-306I4	1	77577141	77642420
70	RP11-143H12	1	78715525	78897452
523	RP11-111N8	1	78742820	78941522
706	RP4-653E17	1	81605422	81660180
2750	RP11-398N17	1	82266095	82356850
590	RP11-338F23	1	83256217	83440223
1826	RP11-28I21	1	83395718	83558893
4296	RP11-28I21	1	83395718	83558893
2754	RP11-118B23	1	84489756	84615320
2307	RP4-604P14	1	84726557	84869137
147	RP4-722L13	1	85674059	85701061
2311	RP4-612B15	1	86682435	86808259
151	RP5-1043L3	1	87212291	87312131
594	RP11-427B20	1	88388590	88496860
2758	RP11-413E1	1	89598152	89783333
598	RP11-298P9	1	90108663	90208871
2315	RP4-665J23	1	90829302	90913308
155	RP4-621B10	1	92051597	92194322
2319	RP5-1033H22	1	93530164	93672182
2762	RP11-366L18	1	94399001	94495001
602	RP11-14O19	1	95339344	95383546
2766	RP11-146P11	1	95518071	95691118
606	RP11-122C9	1	96629951	96817328
2770	RP11-128G13	1	97654369	97765368
610	RP11-17C2	1	98497286	98601702
4184	RP11-260K3	1	99432636	99597673
2211	RP11-413P11	1	99472262	99597683
159	RP4-549L20	1	100837198	100968967
51	RP11-421L21	1	100982517	101170841
2215	RP11-202K23	1	102128162	102268782
55	RP11-118G19	1	105124186	105237557
2219	RP11-90H3	1	105758225	105917241
163	RP5-916A15	1	106415704	106540306
2327	RP5-1077K16	1	107044162	107134455
59	RP11-28P8	1	107985870	108168822
2847	RP5-831G13	1	109471944	109540947
2223	RP11-284N8	1	110553131	110744313
63	RP11-88H9	1	111967421	112137019
687	RP4-770C6	1	112517183	112616522
2227	RP11-31F15	1	112960724	113029606
2525	RP5-1000E10	1	114665002	114805109
691	RP4-663N10	1	115316301	115493366
2855	RP4-787H6	1	116236339	116363389
2231	RP11-27K13	1	116936095	117062941
3067	RP11-13A12	1	118046763	118047522
695	RP5-881A21	1	118316746	118341696
2859	RP4-610L12	1	119061721	119136504
71	RP11-418J17	1	119157195	119314352
591	RP11-326G21	1	148827333	148982241
2755	RP11-315I20	1	145804912	145996492
595	RP11-533N14	1	147570899	147683268
2759	RP11-301M17	1	148214834	148265226
2763	RP11-98D18	1	151677626	151841014
603	RP11-216N14	1	153715573	153865738
607	RP11-422P24	1	153919375	154095201
2767	RP11-307C12	1	154871563	155053728
2771	RP11-98F1	1	155303246	155307239
611	RP11-172I6	1	156109784	156114312
2212	RP11-206M24	1	157819712	157820479
52	RP11-393K10	1	158873314	158905129
2216	RP11-190A12	1	159775029	159911892
56	RP11-137A12	1	161102571	161273585
2220	RP11-5K23	1	161443342	161572846
60	RP11-430G6	1	162987251	163152579
3336	RP11-180L13	1	165147166	165331422
64	RP11-306I1	1	165573160	165649073
148	RP1-97P20	1	169812965	169916046
68	RP11-277C14	1	171893964	172049904
2232	RP11-415M14	1	176138495	176151035
365	RP5-1026E2	1	177223019	177323333
72	RP11-163L4	1	177739182	177919498
2752	RP11-12M5	1	179706695	179879725
592	RP11-46A10	1	180857895	180996900
2756	RP11-538D16	1	182050305	182124819
596	RP11-71D4	1	182738912	182810375
3350	RP11-181K3	1	183093979	183258062
2760	RP11-293B7	1	183683289	183713628
361	RP5-973M2	1	186629643	186714054
164	RP5-936P19	1	186714055	186815001
2764	RP11-108M21	1	187207639	187378277
604	RP11-336D15	1	189170471	189174464
2768	RP11-445K1	1	190016547	190206709
612	RP11-142L4	1	192181559	192275733
2623	RP11-239J11	1	193119619	193242482
463	RP11-435N12	1	194962171	195141952
467	RP11-75C23	1	197418307	197474260
2631	RP11-404H1	1	198368083	198514843
471	RP11-152M20	1	199592862	199677962
2635	RP11-469A15	1	200313186	200478681
2639	RP11-572A16	1	202182982	202360325
479	RP11-480I12	1	202738831	202890846
1988	RP11-739N20	1	204348043	204515121
2643	RP11-563I16	1	204432825	204596732
3895	RP11-430C7	1	204515122	204647106
3163	RP11-534L20	1	206466358	206574056
